"id","model_name","brand","release_date","display","battery","camera","ram","storage","price_usd","source_url","created_at"
1,"SamsungGalaxy A56","Samsung","2025-02-03","6.7 inches, 110.2 cm 2 (~87.7% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm 5 MP, f/2.4, (macro)","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","499.00","https://www.gsmarena.com/samsung_galaxy_a56-13603.php","2025-10-25 15:36:24.996319"
2,"SamsungGalaxy S25 Ultra","Samsung","2025-01-22","6.9 inches, 116.9 cm 2 (~92.5% screen-to-body ratio)",5000,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 50 MP, f/3.4, 111mm (periscope telephoto), 1/2.52"", 0.7µm, PDAF, OIS, 5x optical zoom 50 MP, f/1.9, 120˚ (ultrawide), 1/2.5"", 0.7µm, dual pixel PDAF, Super Steady video","12GB","256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","689.94","https://www.gsmarena.com/samsung_galaxy_s25_ultra-13322.php","2025-10-25 15:36:24.999299"
3,"SamsungGalaxy A17","Samsung","2025-06-08","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM","205.00","https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php","2025-10-25 15:36:25.001733"
4,"SamsungGalaxy S25","Samsung","2025-01-22","6.2 inches, 94.4 cm 2 (~91.1% screen-to-body ratio)",4000,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","12GB","128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","456.98","https://www.gsmarena.com/samsung_galaxy_s25-13610.php","2025-10-25 15:36:25.003056"
5,"SamsungGalaxy S25 FE","Samsung","2025-04-09","6.7 inches, 110.2 cm 2 (~89.2% screen-to-body ratio)",4900,"50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS 8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","8GB","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","619.99","https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php","2025-10-25 15:36:25.004637"
6,"SamsungGalaxy A36","Samsung","2025-02-03","6.7 inches, 110.2 cm 2 (~86.5% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","349.99","https://www.gsmarena.com/samsung_galaxy_a36-13497.php","2025-10-25 15:36:25.006017"
7,"SamsungGalaxy A07 4G","Samsung","2025-08-25","6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF 2 MP, f/2.4, (depth)","4GB","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","99.00","https://www.gsmarena.com/samsung_galaxy_a07-14066.php","2025-10-25 15:36:25.007417"
8,"SamsungGalaxy S24 Ultra","Samsung","2024-01-17","6.8 inches, 113.5 cm 2 (~88.5% screen-to-body ratio)",5000,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 50 MP, f/3.4, 111mm (periscope telephoto), 1/2.52"", 0.7µm, PDAF, OIS, 5x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","12GB","256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","1299.99","https://www.gsmarena.com/samsung_galaxy_s24_ultra-12771.php","2025-10-25 15:36:25.008875"
9,"SamsungGalaxy S24","Samsung","2024-01-17","6.2 inches, 94.4 cm 2 (~90.9% screen-to-body ratio)",4000,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8GB","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM","306.43","https://www.gsmarena.com/samsung_galaxy_s24-12773.php","2025-10-25 15:36:25.010181"
10,"SamsungGalaxy S24 FE","Samsung","2024-09-26","6.7 inches, 110.2 cm 2 (~88.0% screen-to-body ratio)",4700,"50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS 8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","8GB","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","649.99","https://www.gsmarena.com/samsung_galaxy_s24_fe-13262.php","2025-10-25 15:36:25.011779"
